round,accuracy,samples
1,0.5769863013698631,3650
2,0.5769863013698631,3650
3,0.5769863013698631,3650
4,0.5769863013698631,3650
5,0.5769863013698631,3650
6,0.5769863013698631,3650
7,0.5769863013698631,3650
8,0.5769863013698631,3650
9,0.5769863013698631,3650
10,0.5769863013698631,3650
