architecture,scenario,round,n_clients,clients_participated,duration_sec,success,test_acc,test_loss,bytes_to_aggregator,bytes_p2p_direct,bytes_relay,timestamp
B,net_churn00,1,10,10,0.2064642757177353,True,0.03409090909090909,3.095450362292203,374570,374570,0,1783418090.633868
B,net_churn00,2,10,10,0.2080044369213283,True,0.038636363636363635,3.0842729004946623,374570,374570,0,1783418090.8420584
B,net_churn00,3,10,10,0.28806455666199327,True,0.056818181818181816,3.067828200080178,374570,374570,0,1783418091.1303127
B,net_churn00,4,10,10,0.20838950900360942,True,0.08181818181818182,3.045531970804388,374570,374570,0,1783418091.338919
B,net_churn00,5,10,10,0.20831818506121635,True,0.09772727272727273,3.0169580416245894,374570,374570,0,1783418091.5474193
B,net_churn00,6,10,10,0.20866295276209712,True,0.10909090909090909,2.983510684967041,374570,374570,0,1783418091.7562647
B,net_churn00,7,10,10,0.20868652686476707,True,0.15227272727272728,2.946467638015747,374570,374570,0,1783418091.9651387
B,net_churn00,8,10,10,0.20855828234925866,True,0.17727272727272728,2.907727319544012,374570,374570,0,1783418092.1738799
B,net_churn00,9,10,10,0.20866124192252755,True,0.18409090909090908,2.867180416800759,374570,374570,0,1783418092.3827345
B,net_churn00,10,10,10,0.2087947018444538,True,0.20681818181818182,2.827179202166471,374570,374570,0,1783418092.59174
B,net_churn00,11,10,10,0.20834607211872935,True,0.2340909090909091,2.787598302147605,374570,374570,0,1783418092.8002682
B,net_churn00,12,10,10,0.2084383969195187,True,0.2545454545454545,2.7488893985748293,374570,374570,0,1783418093.0088868
B,net_churn00,13,10,10,0.20875532599166036,True,0.2818181818181818,2.7125679579648105,374570,374570,0,1783418093.2178216
B,net_churn00,14,10,10,0.20871620904654264,True,0.3409090909090909,2.6765837452628394,374570,374570,0,1783418093.426726
B,net_churn00,15,10,10,0.20835693972185254,True,0.3477272727272727,2.6420768954537133,374570,374570,0,1783418093.6352623
B,net_churn00,16,10,10,0.20920133916661143,True,0.35,2.608468211780895,374570,374570,0,1783418093.844651
B,net_churn00,17,10,10,0.2093616360798478,True,0.35454545454545455,2.57478385405107,374570,374570,0,1783418094.0542154
B,net_churn00,18,10,10,0.20893980702385306,True,0.3522727272727273,2.541278587688099,374570,374570,0,1783418094.2633445
B,net_churn00,19,10,10,0.20830033998936415,True,0.34545454545454546,2.51018553647128,374570,374570,0,1783418094.4718297
B,net_churn00,20,10,10,0.2094402308575809,True,0.3477272727272727,2.479422582279552,374570,374570,0,1783418094.681457
B,net_churn00,21,10,10,0.20885732118040323,True,0.3431818181818182,2.447308180548928,374570,374570,0,1783418094.8905115
B,net_churn00,22,10,10,0.21019237535074353,True,0.34545454545454546,2.414837030930953,374570,374570,0,1783418095.100898
B,net_churn00,23,10,10,0.21005807491019368,True,0.3431818181818182,2.38222525770014,374570,374570,0,1783418095.3111677
B,net_churn00,24,10,10,0.2089560590684414,True,0.35454545454545455,2.35194505778226,374570,374570,0,1783418095.5203228
B,net_churn00,25,10,10,0.20937849720939994,True,0.36363636363636365,2.3194984219290995,374570,374570,0,1783418095.7298965
B,net_churn00,26,10,10,0.2110733981244266,True,0.375,2.288548803329468,374570,374570,0,1783418095.9411993
B,net_churn00,27,10,10,0.20874115591868758,True,0.3704545454545455,2.2589037808504973,374570,374570,0,1783418096.1501322
B,net_churn00,28,10,10,0.2085367809049785,True,0.37727272727272726,2.2263663855465974,374570,374570,0,1783418096.358856
B,net_churn00,29,10,10,0.20882497681304812,True,0.38636363636363635,2.194074361974543,374570,374570,0,1783418096.5678668
B,net_churn00,30,10,10,0.20905628334730864,True,0.39545454545454545,2.161547712846236,374570,374570,0,1783418096.7771065
B,net_churn00,31,10,10,0.20865625329315662,True,0.4,2.127831576087258,374570,374570,0,1783418096.985952
B,net_churn00,32,10,10,0.2085151169449091,True,0.4113636363636364,2.0969323201612995,374570,374570,0,1783418097.194652
B,net_churn00,33,10,10,0.2887484892271459,True,0.41818181818181815,2.0635315461592243,374570,374570,0,1783418097.4835932
B,net_churn00,34,10,10,0.20990869728848338,True,0.42954545454545456,2.0300129587000066,374570,374570,0,1783418097.693696
B,net_churn00,35,10,10,0.20913164876401424,True,0.4340909090909091,2.001072879271074,374570,374570,0,1783418097.9030197
B,net_churn00,36,10,10,0.20983404200524092,True,0.4409090909090909,1.9717665390534835,374570,374570,0,1783418098.1130385
B,net_churn00,37,10,10,0.208713558036834,True,0.45227272727272727,1.9431985399939797,374570,374570,0,1783418098.3219392
B,net_churn00,38,10,10,0.20845186291262507,True,0.45227272727272727,1.9159399357709017,374570,374570,0,1783418098.530575
B,net_churn00,39,10,10,0.20875825779512525,True,0.45454545454545453,1.8871039022098888,374570,374570,0,1783418098.7395246
B,net_churn00,40,10,10,0.20886022690683603,True,0.45454545454545453,1.8564458825371482,374570,374570,0,1783418098.9485674
B,net_churn00,41,10,10,0.2086231717839837,True,0.45454545454545453,1.8299293409694324,374570,374570,0,1783418099.1573837
B,net_churn00,42,10,10,0.2089377655647695,True,0.46136363636363636,1.8008098082108932,374570,374570,0,1783418099.366505
B,net_churn00,43,10,10,0.20971376495435834,True,0.4659090909090909,1.772220826148987,374570,374570,0,1783418099.5764058
B,net_churn00,44,10,10,0.20865335082635283,True,0.4727272727272727,1.745269292051142,374570,374570,0,1783418099.785247
B,net_churn00,45,10,10,0.20890689408406615,True,0.4681818181818182,1.7177674488587813,374570,374570,0,1783418099.9943364
B,net_churn00,46,10,10,0.20855589909479022,True,0.475,1.691653917052529,374570,374570,0,1783418100.2030761
B,net_churn00,47,10,10,0.20867800060659647,True,0.47954545454545455,1.664295703714544,374570,374570,0,1783418100.411959
B,net_churn00,48,10,10,0.20850888499990106,True,0.49318181818181817,1.6368887706236406,374570,374570,0,1783418100.62065
B,net_churn00,49,10,10,0.20933904591947794,True,0.5,1.610989581454884,374570,374570,0,1783418100.830179
B,net_churn00,50,10,10,0.20871443208307028,True,0.5068181818181818,1.5842185107144442,374570,374570,0,1783418101.03908
B,net_churn00,51,10,10,0.20925172418355942,True,0.5113636363636364,1.5569160981611772,374570,374570,0,1783418101.2485156
B,net_churn00,52,10,10,0.2090195957571268,True,0.5204545454545455,1.5327375216917558,374570,374570,0,1783418101.4577239
B,net_churn00,53,10,10,0.20920506212860346,True,0.525,1.5058699412779375,374570,374570,0,1783418101.6671147
B,net_churn00,54,10,10,0.20943430392071605,True,0.5409090909090909,1.477589605071328,374570,374570,0,1783418101.8767476
B,net_churn00,55,10,10,0.20946995075792074,True,0.5386363636363637,1.4553383697162976,374570,374570,0,1783418102.0864017
B,net_churn00,56,10,10,0.2094575627706945,True,0.5477272727272727,1.4313104911284014,374570,374570,0,1783418102.296045
B,net_churn00,57,10,10,0.20981087582185864,True,0.5454545454545454,1.4063554395328868,374570,374570,0,1783418102.5060403
B,net_churn00,58,10,10,0.20939421793445945,True,0.5454545454545454,1.3847954468293624,374570,374570,0,1783418102.7156181
B,net_churn00,59,10,10,0.20980841992422938,True,0.5454545454545454,1.3623053615743463,374570,374570,0,1783418102.9256191
B,net_churn00,60,10,10,0.20929896226152778,True,0.5545454545454546,1.3389692436565053,374570,374570,0,1783418103.135114
B,net_churn00,61,10,10,0.20892339432612062,True,0.5522727272727272,1.3187052943489768,374570,374570,0,1783418103.3442216
B,net_churn00,62,10,10,0.2898152689449489,True,0.5590909090909091,1.2952106302434747,374570,374570,0,1783418103.6342254
B,net_churn00,63,10,10,0.2088693380355835,True,0.5590909090909091,1.2751773357391358,374570,374570,0,1783418103.843308
B,net_churn00,64,10,10,0.20867588371038437,True,0.5659090909090909,1.254301346432079,374570,374570,0,1783418104.0521672
B,net_churn00,65,10,10,0.2086116848513484,True,0.575,1.2343116521835327,374570,374570,0,1783418104.2609665
B,net_churn00,66,10,10,0.2085831449367106,True,0.5795454545454546,1.2134861425919967,374570,374570,0,1783418104.4697433
B,net_churn00,67,10,10,0.20888547180220485,True,0.5818181818181818,1.1952365853569724,374570,374570,0,1783418104.678813
B,net_churn00,68,10,10,0.2083550188690424,True,0.5909090909090909,1.1807984590530396,374570,374570,0,1783418104.8873537
B,net_churn00,69,10,10,0.20861470885574818,True,0.5977272727272728,1.1608331290158358,374570,374570,0,1783418105.0961566
B,net_churn00,70,10,10,0.20860110502690077,True,0.6022727272727273,1.1442691001025114,374570,374570,0,1783418105.3049407
B,net_churn00,71,10,10,0.20864579360932112,True,0.5977272727272728,1.1262970187447288,374570,374570,0,1783418105.513773
B,net_churn00,72,10,10,0.20825986005365849,True,0.6068181818181818,1.1087987119501288,374570,374570,0,1783418105.722215
B,net_churn00,73,10,10,0.20875324681401253,True,0.6136363636363636,1.0980024684559215,374570,374570,0,1783418105.931153
B,net_churn00,74,10,10,0.20867257984355092,True,0.615909090909091,1.0842286456714978,374570,374570,0,1783418106.140008
B,net_churn00,75,10,10,0.2088220356963575,True,0.6295454545454545,1.0690554857254029,374570,374570,0,1783418106.3490133
B,net_churn00,76,10,10,0.20844051195308566,True,0.634090909090909,1.0507957588542591,374570,374570,0,1783418106.5576372
B,net_churn00,77,10,10,0.20850128587335348,True,0.634090909090909,1.0361641840501266,374570,374570,0,1783418106.766326
B,net_churn00,78,10,10,0.20835369592532516,True,0.6454545454545455,1.0240650285374036,374570,374570,0,1783418106.9748642
B,net_churn00,79,10,10,0.20838085282593966,True,0.6409090909090909,1.0099121288819746,374570,374570,0,1783418107.1834285
B,net_churn00,80,10,10,0.2082620719447732,True,0.6431818181818182,0.9993830290707675,374570,374570,0,1783418107.3918738
B,net_churn00,81,10,10,0.20843049371615052,True,0.6431818181818182,0.9861907980658792,374570,374570,0,1783418107.600498
B,net_churn00,82,10,10,0.20967809716239572,True,0.6545454545454545,0.9782427852804011,374570,374570,0,1783418107.810376
B,net_churn00,83,10,10,0.20930195599794388,True,0.6590909090909091,0.9653204159303145,374570,374570,0,1783418108.0198731
B,net_churn00,84,10,10,0.20853114733472466,True,0.6590909090909091,0.9534286325628107,374570,374570,0,1783418108.2285945
B,net_churn00,85,10,10,0.20894912304356694,True,0.6681818181818182,0.9382153771140359,374570,374570,0,1783418108.4377508
B,net_churn00,86,10,10,0.20962797803804278,True,0.6727272727272727,0.9287927129051902,374570,374570,0,1783418108.6475892
B,net_churn00,87,10,10,0.20908393571153283,True,0.6681818181818182,0.9230080008506775,374570,374570,0,1783418108.8568797
B,net_churn00,88,10,10,0.21186540508642793,True,0.675,0.9192024534398859,374570,374570,0,1783418109.0689485
