round,accuracy,samples
1,0.5712290502793296,3580
2,0.5712290502793296,3580
3,0.5712290502793296,3580
4,0.5712290502793296,3580
5,0.5712290502793296,3580
6,0.5712290502793296,3580
7,0.5712290502793296,3580
8,0.5712290502793296,3580
9,0.5712290502793296,3580
10,0.5712290502793296,3580
