architecture,scenario,round,n_clients,clients_participated,duration_sec,success,test_acc,test_loss,bytes_to_aggregator,bytes_p2p_direct,bytes_relay,timestamp
B,net_churn30,1,10,7,0.14599983301013708,True,0.05,3.0969313101335003,262199,262199,0,1783417864.4033554
B,net_churn30,2,10,7,0.14315971778705716,True,0.04090909090909091,3.0947824651544744,262199,262199,0,1783417864.5467021
B,net_churn30,3,10,7,0.1560221672989428,True,0.045454545454545456,3.0849637551741167,262199,262199,0,1783417864.7029142
B,net_churn30,4,10,7,0.14117992483079433,True,0.045454545454545456,3.0771968494762074,262199,262199,0,1783417864.8442764
B,net_churn30,5,10,7,0.15185258211567998,True,0.07954545454545454,3.061361798373136,262199,262199,0,1783417864.9963167
B,net_churn30,6,10,7,0.14734951127320528,True,0.10681818181818181,3.0439089384945954,262199,262199,0,1783417865.143854
B,net_churn30,7,10,7,0.15381787903606892,True,0.1340909090909091,3.022239828109741,262199,262199,0,1783417865.2978547
B,net_churn30,8,10,7,0.14964177692309022,True,0.19772727272727272,3.003522998636419,262199,262199,0,1783417865.447684
B,net_churn30,9,10,7,0.1467360481619835,True,0.2318181818181818,2.984841069308194,262199,262199,0,1783417865.5946112
B,net_churn30,10,10,7,0.15435789991170168,True,0.25227272727272726,2.9610980077223346,262199,262199,0,1783417865.7491617
B,net_churn30,11,10,7,0.1468135230243206,True,0.27954545454545454,2.945122415369207,262199,262199,0,1783417865.8961613
B,net_churn30,12,10,7,0.1542659099213779,True,0.29318181818181815,2.9228213310241697,262199,262199,0,1783417866.0506089
B,net_churn30,13,10,7,0.1435691909864545,True,0.29772727272727273,2.9098602771759032,262199,262199,0,1783417866.1943674
B,net_churn30,14,10,7,0.1496426439844072,True,0.29545454545454547,2.8886408068917016,262199,262199,0,1783417866.3441896
B,net_churn30,15,10,7,0.14803310669958591,True,0.30454545454545456,2.863217254118486,262199,262199,0,1783417866.4924016
B,net_churn30,16,10,7,0.14217236498370767,True,0.30454545454545456,2.84563194621693,262199,262199,0,1783417866.6347547
B,net_churn30,17,10,7,0.14663679990917444,True,0.30227272727272725,2.821211086619984,262199,262199,0,1783417866.7815733
B,net_churn30,18,10,7,0.14806347200646996,True,0.2909090909090909,2.7968753121115943,262199,262199,0,1783417866.9298282
B,net_churn30,19,10,7,0.14824439166113734,True,0.3068181818181818,2.777701455896551,262199,262199,0,1783417867.0782528
B,net_churn30,20,10,7,0.14838475920259953,True,0.28863636363636364,2.7521183360706676,262199,262199,0,1783417867.2268178
B,net_churn30,21,10,7,0.14360491186380386,True,0.3068181818181818,2.7291809515519576,262199,262199,0,1783417867.370601
B,net_churn30,22,10,7,0.14492197940126061,True,0.29545454545454547,2.707043001868508,262199,262199,0,1783417867.5157185
B,net_churn30,23,10,7,0.15450729010626674,True,0.30227272727272725,2.6813232161782006,262199,262199,0,1783417867.6704059
