architecture,scenario,round,n_clients,clients_participated,duration_sec,success,test_acc,test_loss,bytes_to_aggregator,bytes_p2p_direct,bytes_relay,timestamp
B,net_churn50,1,10,5,0.10673660691827536,True,0.06136363636363636,3.0936863162300803,187285,187285,0,1783417540.8309364
B,net_churn50,2,10,5,0.1090408330783248,True,0.05454545454545454,3.085226431759921,187285,187285,0,1783417540.9401584
B,net_churn50,3,10,5,0.10924549074843526,True,0.056818181818181816,3.0732313242825593,187285,187285,0,1783417541.049588
B,net_churn50,4,10,5,0.10951769491657615,True,0.06818181818181818,3.057060146331787,187285,187285,0,1783417541.159292
B,net_churn50,5,10,5,0.10964456526562572,True,0.09545454545454546,3.03794601613825,187285,187285,0,1783417541.2691236
B,net_churn50,6,10,5,0.10993138793855906,True,0.15681818181818183,3.0170169006694447,187285,187285,0,1783417541.379244
B,net_churn50,7,10,5,0.2025040010921657,True,0.20227272727272727,2.994725985960527,187285,187285,0,1783417541.581938
B,net_churn50,8,10,5,0.10982049722224474,True,0.225,2.972248177094893,187285,187285,0,1783417541.6919436
B,net_churn50,9,10,5,0.10992788802832365,True,0.24772727272727274,2.9492409272627396,187285,187285,0,1783417541.8020594
B,net_churn50,10,10,5,0.1094891238026321,True,0.26590909090909093,2.925461261922663,187285,187285,0,1783417541.911736
B,net_churn50,11,10,5,0.10974590620025992,True,0.27954545454545454,2.9006252852353183,187285,187285,0,1783417542.0216632
B,net_churn50,12,10,5,0.10958762001246214,True,0.2863636363636364,2.87638276273554,187285,187285,0,1783417542.131447
B,net_churn50,13,10,5,0.10988772008568048,True,0.29318181818181815,2.8491571513089267,187285,187285,0,1783417542.2415204
B,net_churn50,14,10,5,0.10998123092576861,True,0.30454545454545456,2.8240344177592887,187285,187285,0,1783417542.3516848
B,net_churn50,15,10,5,0.10955106420442462,True,0.3090909090909091,2.796841846812855,187285,187285,0,1783417542.4614232
B,net_churn50,16,10,5,0.10962056741118431,True,0.3159090909090909,2.7667938232421876,187285,187285,0,1783417542.5712242
B,net_churn50,17,10,5,0.10989008564502001,True,0.3181818181818182,2.7386563257737593,187285,187285,0,1783417542.6812983
B,net_churn50,18,10,5,0.10940110497176647,True,0.3340909090909091,2.706938717582009,187285,187285,0,1783417542.7908878
B,net_churn50,19,10,5,0.10957300988957286,True,0.3409090909090909,2.6758206540888008,187285,187285,0,1783417542.9006445
B,net_churn50,20,10,5,0.10962183307856321,True,0.35,2.6475004239515827,187285,187285,0,1783417543.010456
B,net_churn50,21,10,5,0.10956503031775355,True,0.36363636363636365,2.6167514974420722,187285,187285,0,1783417543.1202056
B,net_churn50,22,10,5,0.10949469590559602,True,0.36363636363636365,2.585593501004306,187285,187285,0,1783417543.229885
B,net_churn50,23,10,5,0.10939937131479383,True,0.3704545454545455,2.5542903163216333,187285,187285,0,1783417543.3394685
B,net_churn50,24,10,5,0.11002706177532673,True,0.36363636363636365,2.5212696422230114,187285,187285,0,1783417543.4496841
B,net_churn50,25,10,5,0.10964473709464073,True,0.37272727272727274,2.4899736534465444,187285,187285,0,1783417543.5595222
B,net_churn50,26,10,5,0.10954999690875411,True,0.3704545454545455,2.4634754310954703,187285,187285,0,1783417543.6692576
B,net_churn50,27,10,5,0.1098083071410656,True,0.37727272727272726,2.4289867357774213,187285,187285,0,1783417543.7792575
B,net_churn50,28,10,5,0.11006001476198435,True,0.37727272727272726,2.395245664769953,187285,187285,0,1783417543.88951
B,net_churn50,29,10,5,0.11051647225394845,True,0.3795454545454545,2.363268674503673,187285,187285,0,1783417544.0002184
B,net_churn50,30,10,5,0.11027753679081798,True,0.3840909090909091,2.335559372468428,187285,187285,0,1783417544.1106904
B,net_churn50,31,10,5,0.11018257401883602,True,0.3840909090909091,2.307502443140203,187285,187285,0,1783417544.2210782
B,net_churn50,32,10,5,0.10964211169630289,True,0.3931818181818182,2.2706158247860997,187285,187285,0,1783417544.3309073
B,net_churn50,33,10,5,0.10962603008374572,True,0.4022727272727273,2.2429857774214312,187285,187285,0,1783417544.440729
B,net_churn50,34,10,5,0.10977109614759684,True,0.40454545454545454,2.208538293838501,187285,187285,0,1783417544.5506852
B,net_churn50,35,10,5,0.10963039612397552,True,0.40454545454545454,2.173229152506048,187285,187285,0,1783417544.6605067
B,net_churn50,36,10,5,0.10968189593404531,True,0.4068181818181818,2.1399299361489037,187285,187285,0,1783417544.770376
B,net_churn50,37,10,5,0.10976299876347184,True,0.41818181818181815,2.1042533614418724,187285,187285,0,1783417544.8803246
B,net_churn50,38,10,5,0.10977670503780246,True,0.4318181818181818,2.0694525892084297,187285,187285,0,1783417544.9902875
B,net_churn50,39,10,5,0.11022592289373279,True,0.4409090909090909,2.033487831462513,187285,187285,0,1783417545.1007
B,net_churn50,40,10,5,0.11018876312300563,True,0.4659090909090909,1.998091663013805,187285,187285,0,1783417545.2110884
B,net_churn50,41,10,5,0.10986436670646071,True,0.4863636363636364,1.965007933703336,187285,187285,0,1783417545.3211453
B,net_churn50,42,10,5,0.1097590341232717,True,0.48409090909090907,1.934668848731301,187285,187285,0,1783417545.4310958
B,net_churn50,43,10,5,0.11023872112855315,True,0.5,1.8983446749773893,187285,187285,0,1783417545.5415256
B,net_churn50,44,10,5,0.10983807686716318,True,0.5,1.8713267369703812,187285,187285,0,1783417545.6515594
B,net_churn50,45,10,5,0.10999936005100608,True,0.5159090909090909,1.8426351894031872,187285,187285,0,1783417545.7617545
B,net_churn50,46,10,5,0.10993104288354516,True,0.5295454545454545,1.8095208037983288,187285,187285,0,1783417545.8718753
B,net_churn50,47,10,5,0.10996187943965197,True,0.5340909090909091,1.778660446947271,187285,187285,0,1783417545.9820251
B,net_churn50,48,10,5,0.11012105504050851,True,0.5340909090909091,1.7448133923790672,187285,187285,0,1783417546.092335
B,net_churn50,49,10,5,0.10997204715386033,True,0.5454545454545454,1.7041797052730214,187285,187285,0,1783417546.2024941
B,net_churn50,50,10,5,0.11003713682293892,True,0.55,1.6736494454470547,187285,187285,0,1783417546.3127263
B,net_churn50,51,10,5,0.11066162632778287,True,0.5522727272727272,1.648815434629267,187285,187285,0,1783417546.42358
B,net_churn50,52,10,5,0.1101663657464087,True,0.5636363636363636,1.613701139796864,187285,187285,0,1783417546.533943
B,net_churn50,53,10,5,0.10994237707927823,True,0.5772727272727273,1.582372084530917,187285,187285,0,1783417546.6440756
B,net_churn50,54,10,5,0.10995505284518003,True,0.5840909090909091,1.5571843364021996,187285,187285,0,1783417546.7542205
B,net_churn50,55,10,5,0.11025126511231065,True,0.5886363636363636,1.5266903920607133,187285,187285,0,1783417546.864667
B,net_churn50,56,10,5,0.11017865594476461,True,0.6068181818181818,1.5009305932305075,187285,187285,0,1783417546.9750443
B,net_churn50,57,10,5,0.11017876863479614,True,0.6227272727272727,1.4724270257082852,187285,187285,0,1783417547.0854175
B,net_churn50,58,10,5,0.10976602928712964,True,0.6545454545454545,1.4419593919407239,187285,187285,0,1783417547.1953723
B,net_churn50,59,10,5,0.10994593892246485,True,0.65,1.4117633494463835,187285,187285,0,1783417547.3055098
B,net_churn50,60,10,5,0.11004946194589138,True,0.6590909090909091,1.3889663566242565,187285,187285,0,1783417547.4157546
B,net_churn50,61,10,5,0.10995710827410221,True,0.65,1.3629160230809991,187285,187285,0,1783417547.5258985
B,net_churn50,62,10,5,0.10979760577902198,True,0.634090909090909,1.33499896959825,187285,187285,0,1783417547.635888
B,net_churn50,63,10,5,0.10988615592941642,True,0.6522727272727272,1.3084417408162898,187285,187285,0,1783417547.7459612
B,net_churn50,64,10,5,0.10967546096071601,True,0.6545454545454545,1.2893090096386997,187285,187285,0,1783417547.8558235
B,net_churn50,65,10,5,0.10972013184800744,True,0.6909090909090909,1.2634634624827992,187285,187285,0,1783417547.9657435
B,net_churn50,66,10,5,0.11011096416041255,True,0.6795454545454546,1.2469301028685136,187285,187285,0,1783417548.0760434
B,net_churn50,67,10,5,0.11047699302434921,True,0.7113636363636363,1.2216219273480502,187285,187285,0,1783417548.1867197
B,net_churn50,68,10,5,0.20252782898023725,True,0.725,1.2000422672791915,187285,187285,0,1783417548.38944
B,net_churn50,69,10,5,0.10953315300866961,True,0.7340909090909091,1.180033027042042,187285,187285,0,1783417548.4991574
B,net_churn50,70,10,5,0.10977223888039589,True,0.7340909090909091,1.1581214341250332,187285,187285,0,1783417548.6091166
B,net_churn50,71,10,5,0.10963691584765911,True,0.7477272727272727,1.1366374839435924,187285,187285,0,1783417548.7189374
B,net_churn50,72,10,5,0.11001982912421227,True,0.7431818181818182,1.114860970323736,187285,187285,0,1783417548.8291395
B,net_churn50,73,10,5,0.1105048730969429,True,0.7909090909090909,1.090595293045044,187285,187285,0,1783417548.9398315
B,net_churn50,74,10,5,0.11021153721958399,True,0.8068181818181818,1.0697706525976007,187285,187285,0,1783417549.0502324
B,net_churn50,75,10,5,0.10988639201968908,True,0.775,1.0498121998526833,187285,187285,0,1783417549.1603055
B,net_churn50,76,10,5,0.10980895394459367,True,0.775,1.033366439559243,187285,187285,0,1783417549.2703016
B,net_churn50,77,10,5,0.10965543100610375,True,0.7795454545454545,1.017413936961781,187285,187285,0,1783417549.3801403
B,net_churn50,78,10,5,0.10957207577303052,True,0.759090909090909,1.0004733215678823,187285,187285,0,1783417549.4898946
B,net_churn50,79,10,5,0.11093700909987092,True,0.8159090909090909,0.97702824419195,187285,187285,0,1783417549.601017
B,net_churn50,80,10,5,0.11049729492515326,True,0.8113636363636364,0.9612121365287087,187285,187285,0,1783417549.7117069
B,net_churn50,81,10,5,0.11041249381378293,True,0.7931818181818182,0.9487581621516835,187285,187285,0,1783417549.822314
B,net_churn50,82,10,5,0.11006542295217514,True,0.7931818181818182,0.940428038076921,187285,187285,0,1783417549.9325712
B,net_churn50,83,10,5,0.10997803695499897,True,0.7931818181818182,0.9233920660885897,187285,187285,0,1783417550.0427544
B,net_churn50,84,10,5,0.10994580714032054,True,0.8136363636363636,0.8995646715164185,187285,187285,0,1783417550.1528857
B,net_churn50,85,10,5,0.10960405878722668,True,0.8113636363636364,0.8866959084164012,187285,187285,0,1783417550.262674
B,net_churn50,86,10,5,0.10974928690120578,True,0.8340909090909091,0.8758264758370139,187285,187285,0,1783417550.3726187
B,net_churn50,87,10,5,0.10968995001167059,True,0.85,0.8542498957027088,187285,187285,0,1783417550.4825017
B,net_churn50,88,10,5,0.10967972921207547,True,0.8181818181818182,0.8424916581674056,187285,187285,0,1783417550.5923655
B,net_churn50,89,10,5,0.10977941192686558,True,0.8477272727272728,0.8251504453745755,187285,187285,0,1783417550.7023287
B,net_churn50,90,10,5,0.10977001208811998,True,0.8681818181818182,0.8125576290217313,187285,187285,0,1783417550.8122792
B,net_churn50,91,10,5,0.10977129731327295,True,0.8522727272727273,0.8001408566128124,187285,187285,0,1783417550.9222324
B,net_churn50,92,10,5,0.109741504304111,True,0.8318181818181818,0.7921377355402166,187285,187285,0,1783417551.0321593
B,net_churn50,93,10,5,0.10973603371530771,True,0.8431818181818181,0.7772188295017589,187285,187285,0,1783417551.142075
B,net_churn50,94,10,5,0.1100168121047318,True,0.8227272727272728,0.7651911367069592,187285,187285,0,1783417551.2522821
B,net_churn50,95,10,5,0.11017359280958772,True,0.8386363636363636,0.755704851584001,187285,187285,0,1783417551.362644
B,net_churn50,96,10,5,0.11009603599086404,True,0.8522727272727273,0.7438714417544279,187285,187285,0,1783417551.4729333
B,net_churn50,97,10,5,0.1099586640484631,True,0.8409090909090909,0.7360537843270736,187285,187285,0,1783417551.5830758
B,net_churn50,98,10,5,0.10976500809192657,True,0.8545454545454545,0.7253655628724531,187285,187285,0,1783417551.6930242
B,net_churn50,99,10,5,0.10974301816895604,True,0.8386363636363636,0.714879636331038,187285,187285,0,1783417551.802951
B,net_churn50,100,10,5,0.11047924822196364,True,0.8681818181818182,0.6993269746953791,187285,187285,0,1783417551.913617
