architecture,scenario,round,n_clients,clients_participated,duration_sec,success,test_acc,test_loss,bytes_to_aggregator,bytes_p2p_direct,bytes_relay,timestamp
B,iid,1,1,1,0.5297078790000569,True,0.39090909090909093,2.198841840570623,37457,37457,0,1783706854.5475187
B,iid,2,1,1,0.5107164569999441,True,0.7681818181818182,1.2981836644085971,37457,37457,0,1783706855.0613992
B,iid,3,1,1,0.6948415240000259,True,0.8818181818181818,0.7328534949909556,37457,37457,0,1783706855.7602732
B,iid,4,1,1,0.5476051010000447,True,0.8727272727272727,0.46094637567346747,37457,37457,0,1783706856.3101566
B,iid,5,1,1,0.5393075720000979,True,0.8886363636363637,0.36864318414167924,37457,37457,0,1783706856.8520555
B,iid,6,1,1,0.4478773560000491,True,0.925,0.2687948692928661,37457,37457,0,1783706857.3021681
B,iid,7,1,1,0.561975426999993,True,0.9409090909090909,0.21825310587882996,37457,37457,0,1783706857.8672614
B,iid,8,1,1,0.5832867910000914,True,0.925,0.18734354268420828,37457,37457,0,1783706858.4532495
B,iid,9,1,1,0.3958814259999599,True,0.9568181818181818,0.15765505947849967,37457,37457,0,1783706858.8514516
B,iid,10,1,1,0.4889382009999963,True,0.9681818181818181,0.1413484958085147,37457,37457,0,1783706859.3431263
B,iid,11,1,1,0.46858089299996664,True,0.95,0.14509892355312,37457,37457,0,1783706859.814704
B,iid,12,1,1,0.40980662899994513,True,0.975,0.1163418401371349,37457,37457,0,1783706860.2270932
B,iid,13,1,1,0.5667223230000218,True,0.9772727272727273,0.10489557006142357,37457,37457,0,1783706860.7971084
B,iid,14,1,1,0.4501446689999966,True,0.95,0.12658344940705732,37457,37457,0,1783706861.250199
B,iid,15,1,1,0.7777328240000543,True,0.9681818181818181,0.12005756172266874,37457,37457,0,1783706862.0305176
B,iid,16,1,1,1.911230172000046,True,0.9613636363636363,0.11016111780296672,37457,37457,0,1783706863.944966
B,iid,17,1,1,1.8243441000000757,True,0.9704545454545455,0.0978710188107057,37457,37457,0,1783706865.7769196
B,iid,18,1,1,1.7130382560000044,True,0.9772727272727273,0.08897669572721828,37457,37457,0,1783706867.4943407
B,iid,19,1,1,1.4422321419999662,True,0.9840909090909091,0.07221871777014299,37457,37457,0,1783706868.9398534
B,iid,20,1,1,1.735037033000026,True,0.9681818181818181,0.09093344076113268,37457,37457,0,1783706870.684981
B,iid,21,1,1,1.207429116999947,True,0.9704545454545455,0.09002860919995741,37457,37457,0,1783706871.895894
B,iid,22,1,1,0.5169560199999523,True,0.9840909090909091,0.0712114767594771,37457,37457,0,1783706872.4159355
B,iid,23,1,1,0.4867101670000693,True,0.9659090909090909,0.10201918997547843,37457,37457,0,1783706872.9047544
B,iid,24,1,1,0.4518574839999019,True,0.9659090909090909,0.09194422526793046,37457,37457,0,1783706873.3589602
B,iid,25,1,1,0.5398818370000527,True,0.9681818181818181,0.09550895257429644,37457,37457,0,1783706873.9008577
B,iid,26,1,1,1.0777321079999638,True,0.9818181818181818,0.07168061868710951,37457,37457,0,1783706874.980798
B,iid,27,1,1,0.6657241890000023,True,0.9704545454545455,0.06928337487307462,37457,37457,0,1783706875.6492386
B,iid,28,1,1,0.5040883379999741,True,0.9772727272727273,0.06112553815950047,37457,37457,0,1783706876.1564739
B,iid,29,1,1,0.5522184349999861,True,0.9795454545454545,0.06023009466854009,37457,37457,0,1783706876.7123268
B,iid,30,1,1,0.610011272999941,True,0.9863636363636363,0.05181265276941386,37457,37457,0,1783706877.326106
B,iid,31,1,1,0.38732053699993685,True,0.9818181818181818,0.06957671561024406,37457,37457,0,1783706877.7156413
B,iid,32,1,1,0.766383759000064,True,0.9772727272727273,0.0805461357940327,37457,37457,0,1783706878.484172
B,iid,33,1,1,0.4485548080000399,True,0.975,0.0720458209514618,37457,37457,0,1783706878.9351969
B,iid,34,1,1,0.38191940000001523,True,0.9704545454545455,0.07818396172740243,37457,37457,0,1783706879.319561
B,iid,35,1,1,0.3933816780000825,True,0.975,0.06167968694459308,37457,37457,0,1783706879.715903
B,iid,36,1,1,0.43055170899992845,True,0.9840909090909091,0.059192363511432304,37457,37457,0,1783706880.1480932
B,iid,37,1,1,0.3113435789999812,True,0.9704545454545455,0.059376824714920735,37457,37457,0,1783706880.4615066
B,iid,38,1,1,0.36248132799994437,True,0.9636363636363636,0.08337068422274156,37457,37457,0,1783706880.825928
B,iid,39,1,1,0.38343501499991817,True,0.975,0.07403460321101275,37457,37457,0,1783706881.2112293
