transport,payload_bytes,iter,conn_time_ms,duration_ms,throughput_mbps,success
iroh_relay_loopback,100000,12,1.964,28.5,28.5141,True
iroh_relay_loopback,100000,13,,,,False
iroh_relay_loopback,100000,14,,,,False
iroh_relay_loopback,100000,15,,,,False
iroh_relay_loopback,100000,16,2.972,29.916,27.1639,True
iroh_relay_loopback,100000,17,1.91,29.145,27.8825,True
iroh_relay_loopback,100000,18,,,,False
iroh_relay_loopback,100000,19,3.397,30.659,26.5063,True
iroh_relay_loopback,100000,20,1.682,28.134,28.8852,True
iroh_relay_loopback,100000,21,2.744,29.248,27.7848,True
iroh_relay_loopback,100000,22,,,,False
iroh_relay_loopback,100000,23,,,,False
iroh_relay_loopback,100000,24,,,,False
iroh_relay_loopback,100000,25,,,,False
iroh_relay_loopback,100000,26,,,,False
iroh_relay_loopback,100000,27,2.924,29.403,27.6384,True
iroh_relay_loopback,100000,28,,,,False
iroh_relay_loopback,100000,29,2.272,29.364,27.6749,True
iroh_relay_loopback,1000000,0,,,,False
iroh_relay_loopback,1000000,1,,,,False
iroh_relay_loopback,1000000,2,,,,False
iroh_relay_loopback,1000000,3,,,,False
iroh_relay_loopback,1000000,4,,,,False
iroh_relay_loopback,1000000,5,,,,False
iroh_relay_loopback,1000000,6,,,,False
iroh_relay_loopback,1000000,7,,,,False
iroh_relay_loopback,1000000,8,,,,False
iroh_relay_loopback,1000000,9,,,,False
iroh_relay_loopback,1000000,10,,,,False
iroh_relay_loopback,1000000,11,,,,False
iroh_relay_loopback,1000000,12,,,,False
iroh_relay_loopback,1000000,13,,,,False
iroh_relay_loopback,1000000,14,,,,False
iroh_relay_loopback,1000000,15,,,,False
iroh_relay_loopback,1000000,16,,,,False
iroh_relay_loopback,1000000,17,,,,False
iroh_relay_loopback,1000000,18,,,,False
iroh_relay_loopback,1000000,19,,,,False
iroh_relay_loopback,1000000,20,,,,False
iroh_relay_loopback,1000000,21,,,,False
iroh_relay_loopback,1000000,22,,,,False
iroh_relay_loopback,1000000,23,,,,False
iroh_relay_loopback,1000000,24,,,,False
iroh_relay_loopback,1000000,25,,,,False
iroh_relay_loopback,1000000,26,,,,False
iroh_relay_loopback,1000000,27,,,,False
iroh_relay_loopback,1000000,28,,,,False
iroh_relay_loopback,1000000,29,,,,False
iroh_relay_loopback,10000000,0,,,,False
iroh_relay_loopback,10000000,1,,,,False
iroh_relay_loopback,10000000,2,,,,False
iroh_relay_loopback,10000000,3,,,,False
iroh_relay_loopback,10000000,4,,,,False
iroh_relay_loopback,10000000,5,,,,False
iroh_relay_loopback,10000000,6,,,,False
iroh_relay_loopback,10000000,7,,,,False
iroh_relay_loopback,10000000,8,,,,False
iroh_relay_loopback,10000000,9,,,,False
iroh_relay_loopback,10000000,10,,,,False
iroh_relay_loopback,10000000,11,,,,False
iroh_relay_loopback,10000000,12,,,,False
iroh_relay_loopback,10000000,13,,,,False
iroh_relay_loopback,10000000,14,,,,False
iroh_relay_loopback,10000000,15,,,,False
iroh_relay_loopback,10000000,16,,,,False
iroh_relay_loopback,10000000,17,,,,False
iroh_relay_loopback,10000000,18,,,,False
iroh_relay_loopback,10000000,19,,,,False
iroh_relay_loopback,10000000,20,,,,False
iroh_relay_loopback,10000000,21,,,,False
iroh_relay_loopback,10000000,22,,,,False
iroh_relay_loopback,10000000,23,,,,False
iroh_relay_loopback,10000000,24,,,,False
iroh_relay_loopback,10000000,25,,,,False
iroh_relay_loopback,10000000,26,,,,False
iroh_relay_loopback,10000000,27,,,,False
iroh_relay_loopback,10000000,28,,,,False
iroh_relay_loopback,10000000,29,,,,False
iroh_relay_loopback,100000000,0,,,,False
iroh_relay_loopback,100000000,1,,,,False
iroh_relay_loopback,100000000,2,,,,False
iroh_relay_loopback,100000000,3,,,,False
iroh_relay_loopback,100000000,4,,,,False
iroh_relay_loopback,100000000,5,,,,False
iroh_relay_loopback,100000000,6,,,,False
iroh_relay_loopback,100000000,7,,,,False
iroh_relay_loopback,100000000,8,,,,False
iroh_relay_loopback,100000000,9,,,,False
iroh_relay_loopback,100000000,10,,,,False
iroh_relay_loopback,100000000,11,,,,False
iroh_relay_loopback,100000000,12,,,,False
iroh_relay_loopback,100000000,13,,,,False
iroh_relay_loopback,100000000,14,,,,False
iroh_relay_loopback,100000000,15,,,,False
iroh_relay_loopback,100000000,16,,,,False
iroh_relay_loopback,100000000,17,,,,False
iroh_relay_loopback,100000000,18,,,,False
iroh_relay_loopback,100000000,19,,,,False
iroh_relay_loopback,100000000,20,,,,False
iroh_relay_loopback,100000000,21,,,,False
iroh_relay_loopback,100000000,22,,,,False
iroh_relay_loopback,100000000,23,,,,False
iroh_relay_loopback,100000000,24,,,,False
iroh_relay_loopback,100000000,25,,,,False
iroh_relay_loopback,100000000,26,,,,False
iroh_relay_loopback,100000000,27,,,,False
iroh_relay_loopback,100000000,28,,,,False
iroh_relay_loopback,100000000,29,,,,False
iroh_relay_wan,100000,0,171.22,482.65,1.6837,True
iroh_relay_wan,100000,0,193.457,499.443,1.6271,True
iroh_relay_wan,100000,1,48.738,347.746,2.3369,True
iroh_relay_wan,100000,1,60.232,356.974,2.2765,True
iroh_relay_wan,100000,2,45.32,345.998,2.3487,True
iroh_relay_wan,100000,2,55.477,352.238,2.3071,True
iroh_relay_wan,100000,3,45.158,345.424,2.3526,True
iroh_relay_wan,100000,3,49.185,344.449,2.3593,True
iroh_relay_wan,100000,4,49.758,346.202,2.3473,True
iroh_relay_wan,100000,4,48.025,342.679,2.3715,True
iroh_relay_wan,100000,5,46.294,343.481,2.3659,True
iroh_relay_wan,100000,5,48.59,346.032,2.3485,True
iroh_relay_wan,100000,6,42.622,339.628,2.3928,True
iroh_relay_wan,100000,6,1059.729,1351.335,0.6014,True
iroh_relay_wan,100000,7,43.18,335.976,2.4188,True
iroh_relay_wan,100000,7,64.934,357.522,2.273,True
iroh_relay_wan,100000,8,40.81,333.914,2.4337,True
iroh_relay_wan,100000,8,56.451,349.66,2.3241,True
iroh_relay_wan,100000,9,46.911,340.561,2.3862,True
iroh_relay_wan,100000,9,77.39,369.207,2.2011,True
iroh_relay_wan,100000,10,43.112,338.53,2.4005,True
iroh_relay_wan,100000,10,47.83,341.447,2.38,True
iroh_relay_wan,100000,11,47.282,338.333,2.4019,True
iroh_relay_wan,100000,11,46.819,339.819,2.3914,True
iroh_relay_wan,100000,12,48.441,341.573,2.3791,True
iroh_relay_wan,100000,12,48.351,341.555,2.3793,True
iroh_relay_wan,100000,13,42.188,333.208,2.4389,True
