scenario,iter,conn_type,conn_time_ms,duration_ms,active_addr,success
net_nat1,0,failed,,,,False
net_nat1,1,direct,35289.965,12.99,85.48.2.235:44045,True
net_nat1,2,direct,57838.808,3.846,85.48.2.235:38937,True
net_nat1,3,direct,58986.971,0.393,85.48.2.235:56974,True
net_nat1,4,direct,59740.102,63.74,85.48.2.235:41331,True
net_nat1,5,direct,58599.206,10.613,85.48.2.235:58747,True
net_nat1,6,direct,60843.516,69.945,10.50.16.202:45287,True
net_nat1,7,direct,59171.864,1.91,85.48.2.235:40830,True
net_nat1,8,direct,58823.762,18.24,85.48.2.235:56276,True
net_nat1,9,direct,57464.612,2.448,85.48.2.235:34777,True
net_nat1,10,direct,56736.444,6.624,85.48.2.235:48714,True
net_nat1,11,direct,58907.349,16.209,85.48.2.235:48821,True
net_nat1,12,direct,58815.259,20.855,85.48.2.235:52680,True
net_nat1,13,direct,58629.084,26.499,85.48.2.235:40250,True
net_nat1,14,direct,60524.668,19.471,85.48.2.235:34090,True
net_nat1,15,direct,60905.877,17.363,85.48.2.235:38923,True
net_nat1,16,direct,58186.787,1.24,85.48.2.235:53045,True
net_nat1,17,direct,59275.384,12.36,85.48.2.235:55174,True
net_nat1,18,direct,58089.723,1.301,85.48.2.235:47251,True
net_nat1,19,direct,59675.184,0.742,85.48.2.235:52794,True
net_nat1,20,direct,59578.213,13.183,85.48.2.235:43554,True
net_nat1,21,direct,57057.842,40.112,85.48.2.235:37101,True
net_nat1,22,direct,56735.966,21.859,85.48.2.235:46146,True
net_nat1,23,direct,113524.614,17.143,85.48.2.235:41264,True
net_nat1,24,direct,54455.524,1.905,85.48.2.235:33302,True
net_nat1,25,direct,51832.363,3.533,85.48.2.235:52210,True
net_nat1,26,direct,58843.218,18.291,85.48.2.235:56880,True
net_nat1,27,direct,115710.684,7.208,85.48.2.235:46995,True
net_nat1,28,failed,,,,False
net_nat1,29,failed,,,,False
