architecture,scenario,round,n_clients,clients_participated,duration_sec,success,test_acc,test_loss,bytes_to_aggregator,bytes_p2p_direct,bytes_relay,timestamp
B,iid,1,1,1,45.287725813221186,True,0.3894,1.6262604112625123,386955,386955,0,1783422047.8863342
B,iid,2,1,1,45.338944976218045,True,0.469,1.4433178430557252,386955,386955,0,1783422093.2256212
B,iid,3,1,1,45.16463238466531,True,0.5074,1.3776243839263915,386955,386955,0,1783422138.3905854
B,iid,4,1,1,44.87045020470396,True,0.5382,1.2946428258895875,386955,386955,0,1783422183.2613769
B,iid,5,1,1,44.67005225503817,True,0.5475,1.2488537834167481,386955,386955,0,1783422227.9317605
B,iid,6,1,1,44.644822431728244,True,0.5833,1.169904691696167,386955,386955,0,1783422272.5769205
B,iid,7,1,1,44.91504536010325,True,0.5933,1.1419675868988037,386955,386955,0,1783422317.4922998
B,iid,8,1,1,44.63947706064209,True,0.6046,1.1080143705368042,386955,386955,0,1783422362.1321135
B,iid,9,1,1,44.637767650187016,True,0.6074,1.0815162467002868,386955,386955,0,1783422406.7701795
B,iid,10,1,1,44.57244504708797,True,0.6385,1.0255132650375367,386955,386955,0,1783422451.3429422
B,iid,11,1,1,44.713563832920045,True,0.6162,1.0770793650627137,386955,386955,0,1783422496.0568156
B,iid,12,1,1,44.613527668174356,True,0.6357,1.0342200709342957,386955,386955,0,1783422540.670662
B,iid,13,1,1,44.552530800923705,True,0.6528,0.9849754861831665,386955,386955,0,1783422585.223545
B,iid,14,1,1,44.55708268797025,True,0.6538,0.9789084241867065,386955,386955,0,1783422629.7809904
B,iid,15,1,1,44.59137031715363,True,0.6686,0.952330561542511,386955,386955,0,1783422674.3728049
B,iid,16,1,1,44.8689445159398,True,0.6677,0.9478429613113404,386955,386955,0,1783422719.24204
B,iid,17,1,1,44.51680378895253,True,0.6502,0.9956784902572632,386955,386955,0,1783422763.759149
B,iid,18,1,1,44.889641385991126,True,0.6829,0.9273816603660584,386955,386955,0,1783422808.649113
B,iid,19,1,1,44.509773031808436,True,0.6698,0.9272129064559936,386955,386955,0,1783422853.1592386
B,iid,20,1,1,44.49518938316032,True,0.6861,0.9191513106346131,386955,386955,0,1783422897.654748
B,iid,21,1,1,44.525897428859025,True,0.667,0.9449817929267883,386955,386955,0,1783422942.1809595
B,iid,22,1,1,44.95704866293818,True,0.6949,0.8932211729049683,386955,386955,0,1783422987.1383758
B,iid,23,1,1,44.59536272799596,True,0.6962,0.8802367147445679,386955,386955,0,1783423031.7340577
B,iid,24,1,1,44.61937512923032,True,0.6888,0.9052968277931214,386955,386955,0,1783423076.3538492
B,iid,25,1,1,44.63897100184113,True,0.6987,0.8810984394073487,386955,386955,0,1783423120.9933882
B,iid,26,1,1,44.51851800829172,True,0.693,0.8853565702438354,386955,386955,0,1783423165.5122297
B,iid,27,1,1,44.52624532394111,True,0.6969,0.8789212924003601,386955,386955,0,1783423210.0388176
B,iid,28,1,1,44.529972455929965,True,0.6929,0.8768386724472046,386955,386955,0,1783423254.569121
B,iid,29,1,1,44.5551924421452,True,0.6984,0.8739378007888794,386955,386955,0,1783423299.1246865
B,iid,30,1,1,44.784880463033915,True,0.6696,0.9270708644866943,386955,386955,0,1783423343.910137
B,iid,31,1,1,44.838524965103716,True,0.7139,0.8447750343322754,386955,386955,0,1783423388.7490125
B,iid,32,1,1,44.56487652100623,True,0.7121,0.8434923901557922,386955,386955,0,1783423433.314218
B,iid,33,1,1,45.030611177906394,True,0.7068,0.8541470748901367,386955,386955,0,1783423478.3451357
B,iid,34,1,1,44.50687801092863,True,0.7012,0.8542854067802429,386955,386955,0,1783423522.8523262
B,iid,35,1,1,44.975785424001515,True,0.7114,0.8485862265586853,386955,386955,0,1783423567.8284187
B,iid,36,1,1,44.48463434306905,True,0.7127,0.8377442085266114,386955,386955,0,1783423612.3133836
B,iid,37,1,1,44.467726537026465,True,0.7078,0.8428165473937989,386955,386955,0,1783423656.7814438
B,iid,38,1,1,44.443988244980574,True,0.7151,0.834698526763916,386955,386955,0,1783423701.2257922
B,iid,39,1,1,44.39076491585001,True,0.7129,0.8354509595870971,386955,386955,0,1783423745.6169193
B,iid,40,1,1,44.54773607570678,True,0.7117,0.8384580094337464,386955,386955,0,1783423790.1649654
B,iid,41,1,1,44.44033412495628,True,0.7238,0.8314307965278626,386955,386955,0,1783423834.605608
B,iid,42,1,1,44.39402132714167,True,0.713,0.8302130708694458,386955,386955,0,1783423878.999977
B,iid,43,1,1,44.4133150964044,True,0.7097,0.8519265591621399,386955,386955,0,1783423923.4136283
B,iid,44,1,1,44.39194865105674,True,0.7133,0.8254047524452209,386955,386955,0,1783423967.8059006
B,iid,45,1,1,44.43678223202005,True,0.7208,0.8302537578582764,386955,386955,0,1783424012.2430103
B,iid,46,1,1,44.56051853206009,True,0.7251,0.8007666687011719,386955,386955,0,1783424056.8038528
B,iid,47,1,1,44.470851896796376,True,0.7298,0.8071964316368103,386955,386955,0,1783424101.2750278
B,iid,48,1,1,44.458572685718536,True,0.7194,0.8188018572807312,386955,386955,0,1783424145.7339218
B,iid,49,1,1,44.66155273467302,True,0.7228,0.8220824829101563,386955,386955,0,1783424190.3958066
B,iid,50,1,1,44.37047506868839,True,0.7254,0.8004050808906555,386955,386955,0,1783424234.7666006
B,iid,51,1,1,44.32759917061776,True,0.7244,0.8085348334312439,386955,386955,0,1783424279.0945315
B,iid,52,1,1,44.46170070208609,True,0.7262,0.8124354480743409,386955,386955,0,1783424323.5565789
B,iid,53,1,1,44.42006357619539,True,0.7277,0.8052608853340149,386955,386955,0,1783424367.9769738
B,iid,54,1,1,44.32962835719809,True,0.7426,0.775403758239746,386955,386955,0,1783424412.3069143
B,iid,55,1,1,44.437505181413144,True,0.734,0.7970490019798279,386955,386955,0,1783424456.7447758
B,iid,56,1,1,44.499325887300074,True,0.7415,0.784545387840271,386955,386955,0,1783424501.244407
B,iid,57,1,1,44.322186338249594,True,0.7389,0.7769155420303345,386955,386955,0,1783424545.566921
B,iid,58,1,1,44.68384123686701,True,0.73,0.8046591406822204,386955,386955,0,1783424590.2511115
B,iid,59,1,1,44.38394436100498,True,0.7273,0.800521222114563,386955,386955,0,1783424634.6353772
B,iid,60,1,1,44.447704849764705,True,0.7328,0.7844371644020081,386955,386955,0,1783424679.083393
B,iid,61,1,1,44.95455928100273,True,0.7335,0.8117844871520996,386955,386955,0,1783424724.038308
B,iid,62,1,1,44.54199292417616,True,0.7414,0.7754855625152588,386955,386955,0,1783424768.580658
B,iid,63,1,1,44.628159292042255,True,0.7243,0.8164620463371277,386955,386955,0,1783424813.2092135
B,iid,64,1,1,44.94743906194344,True,0.7342,0.796223925113678,386955,386955,0,1783424858.1570568
B,iid,65,1,1,44.516803570091724,True,0.7332,0.7982209650039673,386955,386955,0,1783424902.6743274
B,iid,66,1,1,44.42275255220011,True,0.7339,0.7831954572677612,386955,386955,0,1783424947.0974257
B,iid,67,1,1,44.501428589224815,True,0.7411,0.790928315448761,386955,386955,0,1783424991.5991802
B,iid,68,1,1,44.361729317344725,True,0.726,0.8002232067108155,386955,386955,0,1783425035.9612768
B,iid,69,1,1,44.55567912198603,True,0.7319,0.7846863151550293,386955,386955,0,1783425080.517291
B,iid,70,1,1,44.50808806763962,True,0.7469,0.7566613690376282,386955,386955,0,1783425125.025705
B,iid,71,1,1,45.13421890884638,True,0.7483,0.7585805089950561,386955,386955,0,1783425170.1603072
B,iid,72,1,1,44.54041826026514,True,0.7349,0.7877601600646973,386955,386955,0,1783425214.7010777
B,iid,73,1,1,44.54076484777033,True,0.7372,0.7741166807174683,386955,386955,0,1783425259.2423673
B,iid,74,1,1,44.60976709565148,True,0.744,0.7701026329994202,386955,386955,0,1783425303.8525414
B,iid,75,1,1,44.536188191734254,True,0.7375,0.7762855370521545,386955,386955,0,1783425348.3891149
B,iid,76,1,1,44.58059035381302,True,0.734,0.7781662993431091,386955,386955,0,1783425392.9700344
B,iid,77,1,1,44.43123624892905,True,0.7466,0.7624308947563171,386955,386955,0,1783425437.401577
B,iid,78,1,1,44.419742366764694,True,0.7493,0.7643052798271179,386955,386955,0,1783425481.8216572
B,iid,79,1,1,44.473418462090194,True,0.7441,0.7654936210632324,386955,386955,0,1783425526.2954328
B,iid,80,1,1,44.455892046913505,True,0.7431,0.7569731586456299,386955,386955,0,1783425570.7516444
B,iid,81,1,1,44.55357467569411,True,0.7496,0.743411522102356,386955,386955,0,1783425615.3055558
B,iid,82,1,1,44.56011265795678,True,0.7514,0.7392941483497619,386955,386955,0,1783425659.8660123
B,iid,83,1,1,44.335449079051614,True,0.7492,0.7555124291419983,386955,386955,0,1783425704.201791
B,iid,84,1,1,44.255320840049535,True,0.7441,0.7615790321350098,386955,386955,0,1783425748.4574225
B,iid,85,1,1,44.503422618843615,True,0.7497,0.7619020680427552,386955,386955,0,1783425792.9611533
B,iid,86,1,1,44.474465540610254,True,0.7376,0.7796093717575073,386955,386955,0,1783425837.4359272
B,iid,87,1,1,44.47557012317702,True,0.7526,0.744681439113617,386955,386955,0,1783425881.9118145
B,iid,88,1,1,44.178658769931644,True,0.74,0.7662669198989868,386955,386955,0,1783425926.0908062
B,iid,89,1,1,44.236193995922804,True,0.7473,0.7618566576957703,386955,386955,0,1783425970.3273687
B,iid,90,1,1,44.44860127521679,True,0.7468,0.7549570003509521,386955,386955,0,1783426014.7762563
B,iid,91,1,1,44.52433401020244,True,0.7414,0.7771669430732727,386955,386955,0,1783426059.300976
B,iid,92,1,1,44.47567367600277,True,0.7527,0.7474085924148559,386955,386955,0,1783426103.7770195
B,iid,93,1,1,44.48218718916178,True,0.7535,0.7497021075248719,386955,386955,0,1783426148.2595205
B,iid,94,1,1,44.55063609406352,True,0.7508,0.7432410307884216,386955,386955,0,1783426192.810485
B,iid,95,1,1,44.457107758149505,True,0.7463,0.7554924932479858,386955,386955,0,1783426237.2679124
B,iid,96,1,1,44.46135500911623,True,0.754,0.7506308997154236,386955,386955,0,1783426281.7295876
B,iid,97,1,1,45.24364955862984,True,0.7551,0.7395792087554932,386955,386955,0,1783426326.9735734
B,iid,98,1,1,44.413239961955696,True,0.7522,0.7462797611236572,386955,386955,0,1783426371.3872108
B,iid,99,1,1,44.512603492010385,True,0.7544,0.7457957313537598,386955,386955,0,1783426415.9001276
B,iid,100,1,1,44.59753464907408,True,0.7588,0.7351627343177796,386955,386955,0,1783426460.4979727
