provincia,fecha,NO2,O3,PM_particle,CO,velmedia,prec,label_ica,split
Avila,2012-08-09,8.0,64.0,14.0,0.2,3.1,0.0,1,train
Avila,2012-08-10,14.0,39.0,14.0,0.2,2.8,0.0,1,train
Avila,2012-08-11,15.0,48.0,11.0,0.2,4.4,0.0,1,train
Avila,2012-08-12,12.0,60.0,14.0,0.2,3.9,0.0,0,train
Avila,2012-08-16,10.0,68.0,11.0,0.2,3.1,0.0,0,train
Avila,2012-08-17,9.0,79.0,28.0,0.2,3.6,0.0,0,train
Avila,2012-08-18,10.0,75.0,47.0,0.2,3.1,0.0,0,train
Avila,2012-08-19,4.0,81.0,80.0,0.2,3.6,0.0,1,train
Avila,2012-09-05,7.0,72.0,13.0,0.2,2.2,0.0,2,train
Avila,2012-09-12,25.0,40.0,19.0,0.2,3.6,0.0,2,train
Avila,2012-09-19,18.0,64.0,14.0,0.2,2.2,0.0,1,train
Avila,2012-09-20,9.0,64.0,14.0,0.2,4.4,0.0,1,train
Avila,2012-09-21,12.0,64.0,14.0,0.2,3.9,0.0,0,train
Avila,2012-09-22,9.0,64.0,14.0,0.2,2.5,0.0,1,train
Avila,2012-09-23,3.0,64.0,14.0,0.2,4.4,2.4,2,train
Avila,2012-09-28,3.0,69.0,13.0,0.2,1.7,35.4,1,train
Avila,2012-09-29,9.0,66.0,14.0,0.2,4.4,2.4,0,train
Avila,2012-10-05,8.0,87.0,24.0,0.2,1.7,0.0,2,train
Avila,2012-10-06,1.0,70.0,15.0,0.2,3.1,0.0,1,train
Avila,2012-10-08,17.0,64.0,88.0,0.2,1.9,0.0,2,train
Avila,2012-10-09,13.0,64.0,14.0,0.2,2.2,0.0,0,train
Avila,2012-10-10,10.0,59.0,13.0,0.2,2.2,0.2,1,train
Avila,2012-10-11,5.0,66.0,10.0,0.2,2.5,1.8,1,train
Avila,2012-10-12,30.0,26.0,19.0,0.2,3.1,0.0,1,train
Avila,2012-10-13,8.0,60.0,11.0,0.2,1.1,0.0,2,train
Avila,2012-10-18,10.0,71.0,11.0,0.2,2.2,22.4,2,train
Avila,2012-10-19,9.0,59.0,12.0,0.2,2.5,0.0,0,train
Avila,2012-10-20,15.0,59.0,12.0,0.2,2.8,0.0,1,train
Avila,2012-10-29,20.0,64.0,14.0,0.2,1.7,0.4,1,train
Avila,2012-10-30,9.0,64.0,14.0,0.2,1.4,20.4,0,train
Avila,2012-11-05,10.0,90.0,33.0,0.2,3.1,0.0,2,train
Avila,2012-11-06,1.0,85.0,18.0,0.2,2.8,0.0,2,train
Avila,2012-11-08,9.0,78.0,51.0,0.2,4.7,9.2,1,train
Avila,2012-11-09,10.0,64.0,14.0,0.2,2.8,1.6,2,train
Avila,2012-11-10,7.0,67.0,14.0,0.2,2.2,0.4,1,train
Avila,2012-11-11,3.0,76.0,10.0,0.2,5.0,0.8,2,train
Avila,2012-11-12,27.0,18.0,21.0,0.2,2.8,0.0,2,train
Avila,2012-11-13,24.0,35.0,19.0,0.2,1.7,0.0,2,train
Avila,2012-11-14,18.0,44.0,23.0,0.2,2.2,0.0,2,train
Avila,2012-11-15,11.0,62.0,21.0,0.2,5.3,0.0,2,train
Avila,2012-11-16,13.0,61.0,25.0,0.2,3.3,0.8,2,train
Avila,2012-11-17,11.0,66.0,16.0,0.2,3.1,0.2,1,train
Avila,2012-11-18,13.0,49.0,14.0,0.2,3.1,0.0,1,train
Avila,2012-11-19,19.0,38.0,16.0,0.2,1.1,0.0,0,train
Avila,2012-11-20,14.0,45.0,16.0,0.2,3.6,0.2,0,train
Avila,2012-11-21,14.0,63.0,12.0,0.2,2.5,0.0,0,train
Avila,2012-11-22,22.0,40.0,19.0,0.2,2.2,0.0,0,train
Avila,2012-11-23,15.0,57.0,20.0,0.2,3.1,0.0,0,train
Avila,2012-11-27,5.0,73.0,16.0,0.2,3.3,2.2,0,train
Avila,2012-11-28,6.0,65.0,14.0,0.2,4.7,0.0,1,train
Avila,2012-11-29,4.0,71.0,14.0,0.2,5.8,0.2,0,train
Avila,2012-12-04,3.0,82.0,17.0,0.2,4.2,0.0,2,train
Avila,2012-12-05,10.0,63.0,38.0,0.2,3.9,0.0,2,train
Avila,2012-12-06,1.0,80.0,15.0,0.2,1.9,3.0,2,train
Avila,2012-12-08,4.0,91.0,17.0,0.2,2.5,0.0,0,train
Avila,2012-12-10,19.0,53.0,12.0,0.2,1.1,0.0,2,train
Avila,2012-12-11,13.0,62.0,19.0,0.2,1.4,0.0,2,train
